Anio,Mes,Codigo,Descripcion,ipc,reg_1,reg_2,reg_3,reg_4,reg_5,reg_6,reg_7,reg_8
2015,Enero,0,Índice General,117.64,112.10,135.43,116.82,134.28,117.15,115.34,122.39,119.98
2015,Enero,01,Alimentos y bebidas no alcohólicas                                                                  ,141.00,129.87,172.20,133.00,178.09,134.37,129.71,154.80,146.77
2015,Enero,0111101,Arroz                                                                                               ,113.60,114.98,111.17,112.47,123.81,118.13,110.61,112.41,106.46
2015,Enero,0111201,Harina                                                                                              ,127.53,129.74,126.14,127.83,133.75,134.86,119.53,134.37,119.52
2015,Enero,0111202,Maíz                                                                                                ,150.75,119.82,226.06,156.98,131.86,113.23,124.97,171.12,190.39
2015,Enero,0111203,Cereales                                                                                            ,114.64,117.70,114.70,118.97,136.29,123.04,106.76,104.64,115.19
2015,Enero,0111301,Pan                                                                                                 ,143.49,138.99,148.02,130.02,188.19,154.25,124.65,147.97,153.29
2015,Enero,0111302,Galletas                                                                                            ,135.45,151.36,132.08,120.00,139.77,119.04,124.83,144.85,117.45
2015,Enero,0111303,Productos de repostería                                                                            ,114.93,116.83,115.59,111.13,119.87,116.83,112.59,113.24,106.95
2015,Enero,0111401,Pastas                                                                                              ,112.66,119.88,107.14,103.51,110.85,114.10,106.58,117.39,108.61
2015,Enero,0111501,Productos de tortillería                                                                            ,170.62,153.21,250.86,173.63,219.21,140.45,141.98,146.84,185.31
2015,Enero,0112101,Carne de res                                                                                        ,145.85,149.04,146.77,149.78,135.40,141.27,144.79,147.30,144.04
2015,Enero,0112201,Carne de cerdo                                                                                      ,112.40,113.05,114.09,118.38,111.34,110.01,107.76,116.20,108.84
2015,Enero,0112301,Carne de pollo                                                                                      ,119.08,120.80,117.34,113.35,125.52,112.46,117.17,130.24,113.89
2015,Enero,0112401,Embutidos                                                                                           ,117.97,107.41,142.28,132.81,135.45,126.08,116.10,113.95,136.95
2015,Enero,0113101,Pescados                                                                                            ,140.09,121.66,122.38,128.67,138.32,141.59,166.36,111.72,161.72
2015,Enero,0113201,Mariscos                                                                                            ,170.66,142.76,147.98,188.96,221.47,184.84,182.67,151.22,170.28
2015,Enero,0114101,Leche                                                                                               ,115.43,113.63,118.63,116.28,113.57,123.36,115.90,121.09,110.46
2015,Enero,0114102,Yogur                                                                                               ,119.33,122.84,114.98,120.84,121.09,127.01,108.59,115.81,113.23
2015,Enero,0114301,Quesos y crema                                                                                      ,139.06,114.61,152.60,122.84,193.07,125.97,133.97,176.29,139.63
2015,Enero,0114401,Huevos                                                                                              ,142.36,127.75,144.70,134.77,150.59,145.83,153.57,139.55,178.26
2015,Enero,0115101,Margarina                                                                                           ,133.75,139.02,119.67,121.78,131.50,136.47,116.64,158.32,105.70
2015,Enero,0115201,Aceites                                                                                             ,122.61,122.66,118.16,116.87,118.87,130.75,121.89,135.81,111.84
2015,Enero,0116101,Aguacate                                                                                            ,221.90,165.94,690.61,139.57,490.27,194.38,174.60,208.14,244.75
2015,Enero,0116102,Banano                                                                                              ,164.76,138.96,241.55,191.19,267.02,149.66,158.91,160.45,227.95
2015,Enero,0116103,Manzana                                                                                             ,156.25,156.04,111.52,146.26,136.03,149.40,166.59,174.25,176.42
